stock_code,company_name,year,total_assets,total_assets_prev,capex,ocf,interest_paid,interest_expense,sales,net_income,cfcr,inv_rate,roa,size
005930,삼성전자,2015,242179521000000.0,230422958000000.0,25880222000000.0,40061761000000.0,748256000000.0,10031771000000.0,200653482000000.0,19060144000000.0,54.54018009878972,0.11231616078811035,0.07870254231777096,33.120700389385114
005930,삼성전자,2016,262174324000000.0,242179521000000.0,24142973000000.0,47385644000000.0,443838000000.0,10706613000000.0,201866745000000.0,22726092000000.0,107.76337762877446,0.099690398677434,0.08668313377628849,33.20003075721525
005930,삼성전자,2017,301752090000000.0,262174324000000.0,42792234000000.0,62162041000000.0,542715000000.0,8978913000000.0,239575376000000.0,42186747000000.0,115.53901403130557,0.16322053718731053,0.13980598112841572,33.340626902145665
005930,삼성전자,2018,339357244000000.0,301752090000000.0,29556406000000.0,67031863000000.0,548272000000.0,8608896000000.0,243771415000000.0,44344857000000.0,123.26023397145943,0.09794930003633115,0.13067308208101786,33.45807448554268
000660,SK하이닉스,2015,29677906000000.0,26883278000000.0,6774625000000.0,9319520000000.0,124304000000.0,829913000000.0,18797998000000.0,4323595000000.0,75.97361307761616,0.2520014486328639,0.14568396436055833,31.02142397917813
000660,SK하이닉스,2016,32216026000000.0,29677906000000.0,5956354000000.0,5548922000000.0,125818000000.0,846328000000.0,17197975000000.0,2960483000000.0,45.1027674895484,0.2006999415659582,0.09189472966032496,31.10348514652977
000660,SK하이닉스,2017,45418464000000.0,32216026000000.0,9128303000000.0,14690614000000.0,120332000000.0,1249617000000.0,30109434000000.0,10642219000000.0,123.08401755144101,0.28334664865244397,0.23431481522580772,31.446939834332674
000660,SK하이닉스,2018,63658335000000.0,45418464000000.0,16036146000000.0,22227199000000.0,126029000000.0,1142134000000.0,40445066000000.0,15540111000000.0,177.36574915297274,0.35307548049181053,0.2441174592455175,31.7845513828693
005380,현대차,2015,165367946000000.0,147225117000000.0,8141729000000.0,1248415000000.0,1458498000000.0,713452000000.0,91958736000000.0,,1.8559593499613987,0.05530122282055989,,32.73919408288099
005380,현대차,2016,178835928000000.0,165367946000000.0,2971161000000.0,996964000000.0,1670859000000.0,678037000000.0,93649024000000.0,,1.5966775173728005,0.017966970455084445,,32.81748989807962
005380,현대차,2017,178199454000000.0,178835928000000.0,3055023000000.0,3922421000000.0,1746629000000.0,1120386000000.0,96376079000000.0,,3.2457093063266442,0.017082825773129882,,32.8139245669875
005380,현대차,2018,180655752000000.0,178199454000000.0,3226486000000.0,3764265000000.0,1950392000000.0,600867000000.0,96812609000000.0,,2.9300043273352228,0.018106037519059964,,32.82761441359099
035420,NAVER,2015,4385913018000.0,3394457894000.0,120794916000.0,856351407000.0,6402744000.0,53388061000.0,3251157100000.0,518746486000.0,134.74756307608112,0.035585922633925,0.11827559823257762,29.10941893399025
035420,NAVER,2016,6370635180592.0,4385913018121.0,153799500551.0,1164024257897.0,6732073925.0,6070381290.0,4022629619982.0,759072951187.0,173.907230500592,0.035066701030220235,0.11915184744835162,29.48272029492012
035420,NAVER,2017,8019251559914.0,6370635180592.0,472167146968.0,939981997688.0,,568580043.0,4678468928032.0,772879579921.0,1654.2096215132194,0.07411618050370343,0.0963780190890144,29.712866211745744
035420,NAVER,2018,9881190909324.0,8019251559914.0,535035089109.0,973506368153.0,10694341270.0,139365243783.0,5586904533355.0,648812902730.0,92.0300451028154,0.06671883094221549,0.06566140748457486,29.92165415780525
000270,기아,2015,45980113000000.0,41044202000000.0,3914610000000.0,3375248000000.0,119184000000.0,275925000000.0,49521447000000.0,2630600000000.0,29.31964022016378,0.09537546862282766,0.05721169062807653,31.45923009285082
000270,기아,2016,50889260000000.0,45980113000000.0,1559538000000.0,3275882000000.0,151931000000.0,293353000000.0,52712906000000.0,2754640000000.0,22.56164311430847,0.03391766349073566,0.05413008560155915,31.56067301525634
000270,기아,2017,52294438000000.0,50889260000000.0,1689481000000.0,2594190000000.0,196296000000.0,250969000000.0,53535680000000.0,968018000000.0,14.215704853894119,0.03319916618948674,0.01851091697361773,31.587911133351724
000270,기아,2018,51786605000000.0,52294438000000.0,2376265000000.0,4470764000000.0,153476000000.0,317096000000.0,54169813000000.0,1155943000000.0,30.130052907294953,0.04544010971109394,0.022321274005121596,31.578152641020047
034020,두산에너빌리티,2015,27260140610258.0,27551906512303.0,388747759099.0,-74372146286.0,576553756935.0,1955240535134.0,16204318150763.0,-712356108865.0,0.8710057034727039,0.014109650050003218,-0.026131784096408518,30.936446700300213
034020,두산에너빌리티,2016,24832568190355.0,27260140610258.0,290902622062.0,967566785961.0,495762417342.0,1563194963292.0,13892680512183.0,-44773995736.0,2.951674334550308,0.010671354422600933,-0.0018030352476144725,30.843177141044634
034020,두산에너빌리티,2017,24929774707934.0,24832568190355.0,277268881055.0,429324784710.0,450278642618.0,1652463152369.0,14518845928726.0,182350054722.0,1.95346468625256,0.011165533863818869,0.007314548842030505,30.84708397643698
034020,두산에너빌리티,2018,24810203016469.0,24929774707934.0,231413553611.0,989560098943.0,441769661692.0,1080177238355.0,14743600024720.0,102068509827.0,3.23999107397492,0.00928261712438788,0.0041139731810838865,30.842276096447186
012450,한화에어로스페이스,2015,4107930433923.0,3601728499145.0,41882538440.0,-37529636420.0,16627575413.0,16608635660.0,2613405506139.0,6244417206.0,-1.257072091861214,0.011628455184765405,0.0015200883526249721,29.043940473558145
