,Coefficient,Std. Error,t-Statistic,P-value,Significance
Intercept,-0.004507655598755489,0.018170104865836118,-0.24808087966684744,0.804071829096913,
high_constraint_dummy,-0.014760744447395,0.0023691078592658673,-6.230507568350653,4.649263668467323e-10,***
mp_tight,-0.002767590638049185,0.00162425527310933,-1.7039135928130036,0.08839723118659007,*
mp_loose,0.005900915743686265,0.0016391599440871043,3.599963362314015,0.0003182620206136508,***
inter_tight,0.004933214631308299,0.0027939252309564407,1.7656931462047458,0.07744734326397237,*
inter_loose,-0.005671993720083367,0.003015413791649336,-1.881000125352934,0.05997190179064611,*
roa_win,0.04254134012406066,0.014054975173544586,3.0267815914848017,0.002471724804348426,***
size,0.0019913434583489317,0.0006897812703816073,2.8869201641953284,0.0038903293016634803,***
sales_growth_win,0.014528062731421529,0.0022578412071061716,6.434492685179507,1.2388640409592508e-10,***
