stock_code,company_name,year,inv_rate_win,cfcr_final_win,roa_win,size,sales_growth_win,inv_rate,cfcr_final,roa,sales_growth,capex,total_assets,total_assets_prev,ocf,interest_final,mp_shock,gdp_growth,cpi_growth,cfcr_lag,interaction_term
20,동화약품,2019,0.012944757492879,65.19258615830275,0.0250040350392615,26.65293091639192,0.001785492936422,0.012944757492879,65.19258615830275,0.0250040350392615,0.001785492936422,4797317325.0,376028553041.0,370599242793.0,13284966205.0,206954837.0,0.31099341614448917,2.3,0.3835052378741599,-17.0980354094368,-5.31737644134019
20,동화약품,2020,0.0789528418968804,179.76956258407105,0.0661931437546556,26.795867416256364,-0.114193843537026,0.0789528418968804,179.76956258407105,0.0661931437546556,-0.114193843537026,29714492753.0,433807800192.0,376357481746.0,52228225089.0,292153901.0,-1.2167526280511576,-0.7,0.5368668690808986,65.19258615830275,-79.32325053756638
20,동화약품,2021,0.0505847853964076,95.04912979564703,0.0437306967195877,26.827622561022903,0.0769739913129067,0.0505847853964076,95.04912979564703,0.0437306967195877,0.0769739913129067,21944074476.0,447804486939.0,433807800192.0,36031211868.0,383110529.0,-0.9334336306487253,4.6,2.499999999999991,179.76956258407105,-167.8029554829827
20,동화약품,2022,0.041152680311375,79.97426667526874,0.0468217389910722,26.856959842762134,0.1617927811488656,0.041152680311375,79.97426667526874,0.0468217389910722,0.1617927811488656,18428354893.0,461136459052.0,447804486939.0,29220766689.0,370003647.0,-0.7588811131221131,2.7,5.092682926829273,95.04912979564703,-72.13098942060883
20,동화약품,2023,0.053217745136549,95.69374930452712,0.0499795125480937,27.060042732601303,0.0607539225066274,0.053217745136549,95.69374930452712,0.0499795125480937,0.0607539225066274,24540642551.0,564972408621.0,461136459052.0,29166607898.0,308009854.0,1.0090777076865636,1.6,3.592647604901611,79.97426667526874,80.7002496905941
20,동화약품,2024,0.0656830322639505,-13.927832596754502,0.0089782632158817,27.15239631173783,0.2873545081844422,0.0656830322639505,-13.927832596754502,0.0089782632158817,0.2873545081844422,36685291627.0,619634925512.0,558520067703.0,-4003243920.0,268173152.0,1.4530366223868072,2.0,2.3209965050631887,95.69374930452712,139.04652227297996
40,KR모터스,2016,0.0137141690353835,-11.77610439220094,-7.534422631101745e-06,25.72636558163314,0.0510397617944243,0.0137141690353835,-11.77610439220094,-7.534422631101745e-06,0.0510397617944243,2160804090.0,148873915749.0,157559972057.0,-9350458279.0,731870842.0,0.03836972904742941,3.2,0.9719484298078118,-14.455708857701907,-0.5546616320585476
40,KR모터스,2017,0.0034079526050446,-2.624482738492171,0.0,25.409492219012044,-0.5085612406938446,0.0034079526050446,-2.624482738492171,0.0,-0.5085612406938446,507355249.0,108443183567.0,148873915749.0,-4731789203.0,1305507446.0,-0.3303457419368432,3.4,1.943977532547514,-11.77610439220094,3.8901859425673373
40,KR모터스,2018,0.0055223290602678,-1.5933191367279236,0.0,25.766052472628274,-0.1223787660480178,0.0055223290602678,-1.5933191367279236,0.0,-0.1223787660480178,598858944.0,154901066995.0,108443183567.0,-13444874167.0,5184427160.0,0.04847823525262762,3.2,1.475754006861596,-2.624482738492171,-0.12723029161308383
40,KR모터스,2019,0.0034948167336863,-0.2372484143324393,0.0,25.693642587719246,2.2768605012714414,0.0034948167336863,-0.2372484143324393,0.0,2.6260138246885725,541350841.0,144081159835.0,154901066995.0,-7078682177.0,5721310365.0,0.31099341614448917,2.3,0.3835052378741599,-1.5933191367279236,-0.4955117613394054
40,KR모터스,2020,0.0351490505267974,2.571338627864412,0.0,25.77231036739025,-0.1112156300783098,0.0351490505267974,2.571338627864412,0.0,-0.1112156300783098,5064315967.0,155873460967.0,144081159835.0,8847016170.0,5630241638.0,-1.2167526280511576,-0.7,0.5368668690808986,-0.2372484143324393,0.2886726316399654
40,KR모터스,2021,0.0073683822112807,-0.4889492348726765,0.0,25.84982651036493,0.1330347180344011,0.0073683822112807,-0.4889492348726765,0.0,0.1330347180344011,1148535237.0,168436811482.0,155873460967.0,-10038255574.0,6741838700.0,-0.9334336306487253,4.6,2.499999999999991,2.571338627864412,-2.4001739510347897
40,KR모터스,2022,0.0096422776868675,0.6819739824954089,0.0,25.728454629631745,-0.1232240539995193,0.0096422776868675,0.6819739824954089,0.0,-0.1232240539995193,1624114509.0,149185245583.0,168436811482.0,-2410237322.0,7578742585.0,-0.7588811131221131,2.7,5.092682926829273,-0.4889492348726765,0.37105433962038226
40,KR모터스,2023,0.0068066676435173,0.0484826310557631,0.0,25.654644456468045,-0.3301972472503924,0.0068066676435173,0.0484826310557631,0.0,-0.3301972472503924,1015454384.0,138570416599.0,149185245583.0,-8763355053.0,9209873975.0,1.0090777076865636,1.6,3.592647604901611,0.6819739824954089,0.6881647429583438
40,KR모터스,2024,0.0003437740260091,0.5956593866675851,0.0,25.169118174763472,-0.6530139785390588,0.0003437740260091,0.5956593866675851,0.0,-0.7956162114026529,47636910.0,85272527872.0,138570416599.0,-5153969934.0,12746604630.0,1.4530366223868072,2.0,2.3209965050631887,0.0484826310557631,0.07044703847369174
70,삼양홀딩스,2018,0.048308892660472,3.934997818718749,0.030934906392878,28.82911577777611,0.0697686840908237,0.048308892660472,3.934997818718749,0.030934906392878,0.0697686840908237,158258000000.0,3313797000000.0,3275960000000.0,87460000000.0,29799000000.0,0.04847823525262762,3.2,1.475754006861596,0.4912692692227208,0.023815867205765513
