stock_code,company_name,year,inv_rate_win,cfcr_final_win,roa_win,size,sales_growth_win,inv_rate,cfcr_final,roa,sales_growth,capex,total_assets,total_assets_prev,ocf,interest_final
001780,알루코,2018,0.13262106880609997,7.33920795057695,0.004388823118803801,27.335753650524875,0.09765036709783718,0.13262106880609997,7.33920795057695,0.004388823118803801,0.09765036709783718,63336149762.0,744332477653.0,477572306815.0,73640860659.0,11616728972.0
001780,알루코,2019,0.08966620642894232,3.330543790471212,0.0006167934529347474,27.372965334383295,-0.10340061110568764,0.08966620642894232,3.330543790471212,0.0006167934529347474,-0.10340061110568764,66741469593.0,772552136753.0,744332477653.0,47938758312.0,20569773676.0
001780,알루코,2020,0.07335816689886325,6.298901359011915,-0.021028348003867534,27.2763773476523,0.08999915177656942,0.07335816689886325,6.298901359011915,-0.021028348003867534,0.08999915177656942,56673008586.0,701423267928.0,772552136753.0,92515443690.0,17459363257.0
001780,알루코,2021,0.08478580499001151,0.8283807435436455,0.005323916725498209,27.38276191915921,0.020838438634006803,0.08478580499001151,0.8283807435436455,0.005323916725498209,0.020838438634006803,59470736410.0,780157702713.0,701423267928.0,-2867238120.0,16706972045.0
001780,알루코,2022,0.10166395713992912,3.1563055260034165,0.019246327300882132,27.428822879702167,0.2765624182238241,0.10166395713992912,3.1563055260034165,0.019246327300882132,0.2765624182238241,79313919251.0,816932966181.0,780157702713.0,40955955669.0,18993577290.0
001780,알루코,2023,0.08021586417223972,2.738603172637392,0.023760897792195184,27.481534149017847,-0.08401696185781786,0.08021586417223972,2.738603172637392,0.023760897792195184,-0.08401696185781786,65530983853.0,861149661387.0,816932966181.0,70101673444.0,40320686484.0
001780,알루코,2024,0.05669172635377755,2.0776573405841283,0.019030270529548175,27.583930106184877,0.05371863128963016,0.05669172635377755,2.0776573405841283,0.019030270529548175,0.05371863128963016,48820060953.0,954000570292.0,861149661387.0,43702280559.0,40553039369.0
001790,대한제당,2018,0.008383875911678225,1.6031811110342828,0.008589809053034355,27.758047940266692,-0.05056634066732713,0.008383875911678225,1.6031811110342828,0.008589809053034355,-0.05056634066732713,9665525000.0,1135447475000.0,1152870713000.0,12613990000.0,20912442000.0
001790,대한제당,2019,0.007150384477274037,1.5231666196763831,0.012893915948863223,27.764805468056117,-0.004705109656756783,0.007150384477274037,1.5231666196763831,0.012893915948863223,-0.004705109656756783,8118886000.0,1143146276000.0,1135447475000.0,8509710000.0,16265774000.0
001790,대한제당,2020,0.010933699616933362,3.7112960836371425,0.019781775426824254,27.767509756456956,0.008350717785598705,0.010933699616933362,3.7112960836371425,0.019781775426824254,0.008350717785598705,12498818000.0,1146241857000.0,1143146276000.0,64757973000.0,23884508000.0
