,Coefficient,Std. Error,t-Statistic,P-value,Significance
Intercept,-0.00667865798073751,0.018263884458078854,-0.36567565876071173,0.7146071114939041,
high_constraint_dummy,-0.010886764680467466,0.0015114027860615778,-7.203086285712269,5.88646952812019e-13,***
mp_shock,0.0012035932109912063,0.0007175455430701771,1.6773753563312048,0.09346910523852815,*
interaction_dummy,0.00012334706205047456,0.001306981924552367,0.09437549191257573,0.9248108835183122,
roa_win,0.041996475073941386,0.014050645897509859,2.9889355535879143,0.002799511736885733,***
size,0.0019542999646728256,0.0006871068556688718,2.844244601184179,0.00445168588093869,***
sales_growth_win,0.014569904514199029,0.0022565188664307617,6.45680598152716,1.0693584959350623e-10,***
