stock_code,company_name,year,total_assets,total_assets_prev,capex,ocf,interest_paid,interest_expense,sales,net_income,cfcr,inv_rate,roa,size
138040,메리츠금융지주,2024,115578247112858.0,102235842680189.0,72049160888.0,,1898346892337.0,1977306366199.0,46574506350960.0,2333433638351.0,,0.0007047348464019801,0.0201892111763253,32.38096888069572
000810,삼성화재,2024,87269492540789.0,85019029989421.0,59807154184.0,3127018161730.0,10132393107.0,457189081885.0,,,309.61595367531567,0.0007034560873188257,,32.10002206226836
096770,SK이노베이션,2024,110530097549000.0,80835513251000.0,10027893990000.0,2232521961000.0,1467038006000.0,6397890465000.0,74716970174000.0,0.0,2.5217887688452976,0.12405307502486783,0.0,32.336308975807796
267260,HD현대일렉트릭,2024,3795545096460.0,2910160077690.0,121640871886.0,1033722426199.0,26151969393.0,153021524690.0,3322349007529.0,501567028463.0,40.52751743720275,0.04179868757685487,0.13214624400874533,28.96484915189239
051910,LG화학,2024,93857762000000.0,77466694000000.0,14614863000000.0,7012339000000.0,939334000000.0,2714967000000.0,,1205865000000.0,8.465224297214835,0.18865995494786444,0.012847791959923357,32.172801581987535
259960,크래프톤,2024,7919463568015.0,6440456619598.0,20271799834.0,907928823450.0,8926210878.0,9457915752.0,2709774106588.0,1306089757323.0,102.7149197861467,0.0031475718309030894,0.16492149324330677,29.700344588149775
316140,우리금융지주,2024,525753320000000.0,498004936000000.0,221856000000.0,,12483982000000.0,13127005000000.0,,3171469000000.0,,0.00044548956036853416,0.0060322377041765515,33.89585324527982
010130,고려아연,2024,14792322181548.0,12046071311650.0,1113256029679.0,,79461110762.0,499129275883.0,,,,0.09241652326948684,,30.325129390573093
033780,KT&G,2024,13925237000000.0,12772452000000.0,767537000000.0,822275000000.0,43369000000.0,91635000000.0,,1165727000000.0,19.95997140814868,0.060093159872513124,0.08371326103821429,30.264723921345716
034730,SK,2024,214977754000000.0,206970264000000.0,15673489000000.0,8110330000000.0,3891755000000.0,10177513000000.0,124690439000000.0,,3.0839775371265663,0.07572821668720488,,33.0015556689354
024110,기업은행,2024,472219838000000.0,448427279000000.0,,,10869411000000.0,11062971000000.0,,,,,,33.78846575155687
010140,삼성중공업,2024,17194637128138.0,15593389152394.0,173394962279.0,654519940133.0,267181201482.0,361844306644.0,9903077919464.0,63876253559.0,3.4497230213147874,0.011119773936532538,0.003714893956934416,30.47561865625413
006400,삼성SDI,2024,40597344536357.0,34038860192967.0,6271319040013.0,-137613377776.0,324630847248.0,1602581639814.0,16592248884388.0,599289842809.0,0.5760927251904961,0.18423998349124393,0.014761799069697903,31.334723774888754
030200,KT,2024,41879957000000.0,42709982000000.0,,5065796000000.0,394162000000.0,994781000000.0,26431204000000.0,470286000000.0,13.852065901837316,,0.011229381157196508,31.365828475187282
003550,LG,2024,31639273000000.0,30253085000000.0,101706000000.0,1361451000000.0,,26996000000.0,,790478000000.0,51.431582456660244,0.0033618389661748548,0.02498407596154311,31.085420281320026
018260,삼성에스디에스,2024,13238330251696.0,12321024561023.0,474720621150.0,1238044504932.0,46753196089.0,155471871099.0,13828232033800.0,789501325293.0,27.480425051054095,0.03852931375948694,0.059637530585993255,30.21413754456414
066570,LG전자,2024,65629589000000.0,60240793000000.0,2356437000000.0,3842661000000.0,623089000000.0,1132596000000.0,87728182000000.0,591365000000.0,7.167114168280936,0.03911696514353654,0.009010646097448515,31.81504776201456
352820,하이브,2024,5479186860000.0,5345681487000.0,32877737000.0,151599247000.0,33262393000.0,141271874000.0,2255648536000.0,9379803000.0,5.557677103989482,0.006150335944996792,0.0017118968999717597,29.331977822666914
017670,SK텔레콤,2024,30515255000000.0,30119227000000.0,2487360000000.0,5087285000000.0,356081000000.0,605919000000.0,17940609000000.0,1387095000000.0,15.286875738947037,0.08258379273810712,0.04545578924377332,31.049247838436052
006800,미래에셋증권,2024,137176998056307.0,128206948648964.0,26885650156.0,-10250278932212.0,5364922664462.0,5420667639433.0,22242327609027.0,925470295452.0,-0.9106107530890025,0.00020970509351731035,0.006746541392253842,32.55229316451423
079550,LIG넥스원,2024,6125264653217.0,3815758833285.0,496962990115.0,951948218386.0,,84519397962.0,3276339508425.0,221711612922.0,12.26307381903024,0.13023962253064164,0.03619625036210585,29.44344308011436
272210,한화시스템,2024,5724010115718.0,4483210824746.0,239805649946.0,132623693858.0,,39407264646.0,2803686058274.0,454300056693.0,4.365463070055076,0.05348971068287568,0.07936744476490398,29.375690744867523
086280,현대글로비스,2024,16849145438725.0,14725019903938.0,939043408562.0,2122406804062.0,187044749146.0,189184306474.0,28407374301315.0,1099486986046.0,12.34705365294874,0.06377196191842607,0.06525476262546878,30.45532105563816
377300,카카오페이,2024,4414712217433.0,3966486618370.0,8792719652.0,127031956693.0,22328219967.0,5579758652.0,766235159395.0,,6.689300664394516,0.0022167526322358568,,29.11596376494559
009150,삼성전기,2024,12792402920884.0,11657871601848.0,775986403809.0,,97424136340.0,72690315725.0,10294102976435.0,703215637082.0,,0.06656329991539717,0.054971348340973405,30.17987258884439
247540,에코프로비엠,2024,4323660098124.0,4361774597751.0,1023789607558.0,670144487342.0,72982883360.0,175425579937.0,2766837750152.0,38002559110.0,10.182214465772786,0.23471859551978733,0.008789441872752438,29.095123404411282
003230,삼양식품,2024,1594782196967.0,1170302770895.0,228450369489.0,357904674484.0,12306751463.0,28977708722.0,1728015003746.0,271985324667.0,30.081977933822195,0.19520621088018997,0.17054700333642367,28.097758289215356
003670,포스코퓨처엠,2024,7932459834018.0,6334593297871.0,2041609019528.0,670850270370.0,63525488077.0,234809998536.0,3699944235821.0,-19014772866.0,11.560332406369778,0.3222952008954018,-0.0023970840399917307,29.70198429692016
267250,HD현대,2024,73866670219000.0,67982820888000.0,1724578061000.0,7511489661000.0,,7363724939000.0,67765626088000.0,1930179481000.0,2.020066572722917,0.025367850855162355,0.026130587385046616,31.933282830224723
000150,두산,2024,30143063000000.0,28286809000000.0,710433000000.0,307830000000.0,,1546260000000.0,18132874000000.0,528394000000.0,1.1990803616468122,0.025115346167183437,0.01752953905182098,31.036975929709868
042700,한미반도체,2024,710872366678.0,723839103741.0,53537061092.0,141363819580.0,,6078237057.0,558917191547.0,152614498001.0,24.257371875155542,0.07396265387612483,0.2146862153528173,27.289758738227494
443060,HD현대마린솔루션,2024,1152227968481.0,656618146496.0,9637814927.0,,4433460034.0,39197159547.0,1745458578779.0,227940276635.0,,0.014677960057046203,0.19782567588208885,27.772718547931166
298040,효성중공업,2024,6218812921202.0,4761300218430.0,83956108784.0,412091967128.0,,566861757914.0,4894979612220.0,222929444192.0,1.7269708379066904,0.017633021429529567,0.0358475881195846,29.45860015578436
047050,포스코인터내셔널,2024,,,754426658000.0,876881370000.0,320906888000.0,1711580938000.0,32340793124000.0,514555065000.0,3.7325102788071036,,,
003490,대한항공,2024,47012065940089.0,30391776029656.0,2894099745681.0,4558915095322.0,545256660511.0,514159242273.0,17870718495804.0,1381858075058.0,9.361044303520302,0.09522641068613316,0.02939368962893495,31.481425406820673
005830,DB손해보험,2024,66506135383633.0,60040428590956.0,49547396701.0,,102928474577.0,0.0,,1853216681744.0,,0.0008252338942907448,0.02786534912988001,31.82831532074255
047810,한국항공우주,2024,8025538409393.0,7139576928721.0,161281037390.0,-728182360450.0,,143909460657.0,3633742105840.0,172075960913.0,-4.060003401621949,0.02258971911083424,0.021441048828774432,29.71364987420724
000100,유한양행,2024,2942048836634.0,2812305590753.0,117078952653.0,54601585042.0,12116829045.0,14580186316.0,2067791451854.0,70687449399.0,5.506260246737681,0.04163094972251998,0.02402660639715062,28.71012733777763
010120,LS ELECTRIC,2024,4485197464384.0,3732891934230.0,145243521908.0,230146922129.0,,41400473062.0,,242237998768.0,6.559040878212659,0.038909115095494995,0.05400832420234794,29.131803638203447
000720,현대건설,2024,27005385000000.0,23714495000000.0,178853000000.0,-118800000000.0,,171771000000.0,32670268000000.0,-168663000000.0,0.30838150793789404,0.007541927416122502,-0.006245532141089638,30.927057406490924
090430,아모레퍼시픽,2024,6783507800768.0,5886510888702.0,80964717542.0,334509652791.0,17787145860.0,42891624478.0,3885110699186.0,601641373835.0,19.80625792490128,0.013754279754649882,0.08869177887093824,29.545515458833226
180640,한진칼,2024,4207157981000.0,3784921894000.0,2244354000.0,64059909000.0,24681636000.0,69155736000.0,292157342000.0,512176366000.0,3.5954482514854362,0.0005929723420601714,0.12173927585154783,29.067808471769123
010620,HD현대미포,2024,5108867288000.0,4909071433000.0,144616407000.0,360899980000.0,20636381000.0,676855426000.0,4630048754000.0,113248354000.0,18.488530571324496,0.029459014596498335,0.022167018169762253,29.26199882981925
071050,한국금융지주,2024,109220199166181.0,95901185591112.0,40453375210.0,-7773511990534.0,2424149505916.0,0.0,21174133586717.0,1045868641939.0,-2.2066966049590517,0.0004218235151177231,0.00957578039523337,32.32438713618304
326030,SK바이오팜,2024,1036810779623.0,723170577189.0,1395344479.0,94899993001.0,9498850250.0,44864419740.0,547596283214.0,240738037875.0,10.990682082918404,0.0019294818166189413,0.23219090947582158,27.667170559503298
000880,한화,2024,252036985000000.0,209738149000000.0,5594887000000.0,6880953000000.0,1100745000000.0,1192628000000.0,55646829000000.0,1690434000000.0,7.251178065764551,0.0266755810837255,0.006707087057084102,33.16059695854393
021240,코웨이,2024,5761561091079.0,4850965736396.0,237403790178.0,330339058184.0,61745051120.0,66534112230.0,4310141694596.0,565600031105.0,6.350049148748685,0.04893949021259794,0.09816784412487708,29.382229576673087
010950,S-Oil,2024,24451433000000.0,21576123000000.0,3041864000000.0,1467583000000.0,364846000000.0,832799000000.0,36637031000000.0,0.0,5.0224724952445685,0.1409828818643646,0.0,30.827709939538916
032640,LG유플러스,2024,19707730000000.0,20100605000000.0,1914986000000.0,3335301000000.0,265291000000.0,275526000000.0,14625198000000.0,374464000000.0,13.572235771285117,0.0952700677417421,0.019000869202084665,30.612032060496123
028300,HLB,2024,887424813429.0,747014426537.0,19968949065.0,-114312509443.0,2104871526.0,13963074937.0,68125727347.0,0.0,-53.308544740606656,0.026731677937696333,0.0,27.511589637444175
005940,NH투자증권,2024,62427065000000.0,56697893000000.0,32136000000.0,-4196698000000.0,,938662000000.0,,686659000000.0,-3.4709362901662155,0.0005667935491006695,0.010999379836293762,31.765020031242898
016360,삼성증권,2024,62273916116630.0,56507909508834.0,16292914566.0,,967605681091.0,1023812063436.0,,899037889864.0,,0.0002883298056434541,0.014436829188327142,31.762563772134158
086520,에코프로,2024,8138264562531.0,7556978775072.0,1581710525538.0,488829329203.0,117416916012.0,284881820064.0,3127853158129.0,-89416280759.0,5.16319339500487,0.20930461400203285,-0.010987143520828418,29.727598074506655
029780,삼성카드,2024,29494082851904.0,28806533713375.0,6219999073.0,,438216967911.0,512693240797.0,4383209688411.0,664593152937.0,,0.00021592320460660032,0.022533101174024028,31.015210777863814
009830,한화솔루션,2024,30036831374114.0,24790423705500.0,3397574333556.0,638486498245.0,534795766276.0,548420217797.0,12394023649010.0,,2.1938884682858295,0.13705188640249882,,31.033445457038482
006260,LS,2024,20527939000000.0,18245954000000.0,886285000000.0,858072000000.0,,453447000000.0,,391515000000.0,2.892331408080768,0.0485743305063687,0.019072299464646694,30.652807952246363
039490,키움증권,2024,55688423730459.0,52046420344899.0,21550734910.0,-4971288994546.0,,1087789602353.0,11280306577010.0,835047385103.0,-3.5700832070766206,0.0004140675721248168,0.014994990505473179,31.65079340877435
278470,에이피알,2024,565143563187.0,287309488243.0,,79124161730.0,3494536736.0,3769628254.0,722753862301.0,107590435967.0,23.642246371279814,,0.1903771766597994,27.06034562995269
241560,두산밥캣,2024,8169804000.0,8043861000.0,201163000.0,533144000.0,85236000.0,180193000.0,6269305000.0,,7.254915763292505,0.025008264066223918,,22.823710755322473
277810,레인보우로보틱스,2024,139881005679.0,132611487315.0,11659354938.0,-1913480067.0,11657911.0,165980994.0,19346780087.0,2135370753.0,-163.13575871354652,0.08792115354460082,0.015265623396362085,25.66405793869967
