stock_code,company_name,year,total_assets,total_assets_prev,capex,ocf,interest_paid,interest_expense,sales,net_income,cfcr,inv_rate,roa,size
005930,삼성전자,2019,352564497000000.0,339357244000000.0,25367756000000.0,45382915000000.0,579979000000.0,8274871000000.0,230400881000000.0,21738865000000.0,79.24923833449142,0.0747523633236484,0.06165925719968338,33.49625469165663
005930,삼성전자,2020,378235718000000.0,352564497000000.0,37592034000000.0,65287009000000.0,555321000000.0,11318055000000.0,236806988000000.0,26407832000000.0,118.56625267187806,0.10662455896686614,0.0698184511490266,33.566538709787665
005930,삼성전자,2021,426621158000000.0,378235718000000.0,47122106000000.0,65105448000000.0,434441000000.0,7704554000000.0,279604799000000.0,39907450000000.0,150.8602756185535,0.12458396644602454,0.09354306332833122,33.68691751754792
005930,삼성전자,2022,448424507000000.0,426621158000000.0,49430428000000.0,62181346000000.0,714543000000.0,19027689000000.0,302231360000000.0,55654077000000.0,88.02253888149488,0.1158649238864051,0.1241102485061103,33.73676145995955
005930,삼성전자,2023,455905980000000.0,448424507000000.0,57611292000000.0,44137427000000.0,844691000000.0,12645530000000.0,258935494000000.0,15487100000000.0,53.25274923019187,0.12847489622149488,0.033969942662300676,33.75330771997352
000660,SK하이닉스,2019,64789494000000.0,63658335000000.0,13920244000000.0,6483188000000.0,231382000000.0,1514869000000.0,26990733000000.0,2016391000000.0,29.019413783267495,0.21867119207563315,0.031122190891010818,31.80216457651272
000660,SK하이닉스,2020,71173853000000.0,65248350000000.0,10068662000000.0,12314571000000.0,288565000000.0,1980411000000.0,31900418000000.0,4758914000000.0,43.67520662589018,0.1543128983338276,0.0668632341711218,31.896146633753805
000660,SK하이닉스,2021,96386474000000.0,71173853000000.0,12486635000000.0,19797648000000.0,240942000000.0,1469860000000.0,42997792000000.0,9616188000000.0,83.16769180964714,0.17543851391605847,0.09976698597772131,32.19938699649719
000660,SK하이닉스,2022,103871512000000.0,96346525000000.0,19010261000000.0,14780517000000.0,494513000000.0,5091553000000.0,44621568000000.0,2241669000000.0,30.88903628418262,0.19731133011802968,0.021581172323745512,32.274175789719685
000660,SK하이닉스,2023,100330165000000.0,103871512000000.0,8325138000000.0,4278191000000.0,1261540000000.0,6093167000000.0,32765719000000.0,-25119000000.0,4.39124482775021,0.08014842414154903,-0.0002503633877209312,32.23948751343762
207940,삼성바이오로직스,2020,6424201164962.0,5911626511920.0,139664805056.0,202090026541.0,,40879632723.0,1164776873641.0,240974799963.0,5.943538214013812,0.02362544466812724,0.037510469204683664,29.491093406678296
207940,삼성바이오로직스,2021,7970010786863.0,6424201164962.0,406253514919.0,454596217269.0,,29140999592.0,1568006928039.0,393589467655.0,16.599884136912003,0.06323798157734108,0.04938380614286684,29.706706962163004
