종목코드,종목명,종가,대비,등락률,상장시가총액
"032080","아즈텍WB","1325","-10","-0.75","28476.0"
"032280","삼일","1514","1","0.07","24547.0"
"032540","TJ미디어","6110","0","0.00","85122.0"
"032580","피델릭스","1200","-10","-0.83","39758.0"
"032680","소프트센","346","-3","-0.86","36534.0"
"032750","삼진","4575","-50","-1.08","41317.0"
"032790","엠젠솔루션","1101","28","2.61","49275.0"
"032800","판타지오","578","2","0.35","26563.0"
"032850","비트컴퓨터","5220","-40","-0.76","86774.0"
"032860","더라미","1191","-13","-1.08","48111.0"
"032960","동일기연","10840","-10","-0.09","44646.0"
"033050","제이엠아이","900","-4","-0.44","29321.0"
"033130","디지틀조선","1597","14","0.88","59273.0"
"033170","시그네틱스","672","-4","-0.59","57609.0"
"033230","인성정보","2145","-5","-0.23","108355.0"
"033290","코웰패션","2270","15","0.67","127475.0"
"033310","엠투엔","2175","35","1.64","87744.0"
"033320","제이씨현시스템","5390","-70","-1.28","103027.0"
"033540","파라텍","1299","-15","-1.14","49039.0"
"033560","블루콤","3230","-10","-0.31","55233.0"
"033790","피노","4080","0","0.00","93117.0"
"033830","티비씨","713","-2","-0.28","71300.0"
"034940","조아제약","1025","3","0.29","31754.0"
"035200","프럼파스트","3495","20","0.58","34008.0"
"035290","골드앤에스","405","1","0.25","19309.0"
"035460","기산텔레콤","2135","-45","-2.06","31123.0"
"035610","솔본","4080","-55","-1.33","111572.0"
"035620","바른손이앤에이","495","-7","-1.39","36848.0"
"036000","예림당","4830","235","5.11","111256.0"
"036010","아비코전자","5290","-70","-1.31","70320.0"
"036090","위지트","746","-4","-0.53","88321.0"
"036120","서울평가정보","2445","70","2.95","86798.0"
"036170","에이치엠넥스","927","-13","-1.38","56886.0"
"036480","대성미생물","8200","50","0.61","31160.0"
"036630","세종텔레콤","5330","-100","-1.84","106600.0"
"036640","HRS","5480","-30","-0.54","89624.0"
"036670","삼양케이씨아이","7120","30","0.42","80242.0"
"036710","심텍홀딩스","1637","25","1.55","79760.0"
"037030","파워넷","2760","-35","-1.25","60386.0"
"037230","한국팩키지","1979","-16","-0.80","58975.0"
"037330","인지디스플레","1352","0","0.00","59333.0"
"037350","성도이엔지","4740","10","0.21","73328.0"
"037370","EG","5940","10","0.17","51232.0"
"037400","우리엔터프라이즈","1141","8","0.71","29921.0"
"037440","희림","5140","-40","-0.77","71562.0"
"037760","쎄니트","1651","13","0.79","55858.0"
"037950","엘컴텍","901","-1","-0.11","76087.0"
"038010","제일테크노스","6400","-90","-1.39","57600.0"
"038060","루멘스","880","2","0.23","42331.0"
"038070","서린바이오","7580","80","1.07","68983.0"
"038460","바이오스마트","3350","-20","-0.59","87651.0"
"038530","케이바이오","268","9","3.47","31011.0"
"038540","상상인","2030","-35","-1.69","112316.0"
"038620","위즈코프","620","-5","-0.80","46952.0"
"038680","에스넷","4655","-115","-2.41","92693.0"
"038870","에코바이오","4040","0","0.00","56620.0"
"038880","아이에이","214","-5","-2.28","80404.0"
"038950","파인디지털","3360","-15","-0.44","34308.0"
"039010","현대에이치티","7830","30","0.38","67534.0"
"039020","이건홀딩스","4895","95","1.98","110552.0"
"039240","경남스틸","3065","10","0.33","82692.0"
"039290","인포뱅크","6660","-30","-0.45","57902.0"
"039310","세중","1596","18","1.14","28922.0"
"039340","한국경제TV","5510","-10","-0.18","123975.0"
"039420","케이엘넷","3045","15","0.50","73551.0"
"039560","다산네트웍스","3075","40","1.32","121813.0"
"039610","화성밸브","10840","-290","-2.61","112849.0"
"039740","한국정보공학","2860","15","0.53","22933.0"
"039860","나노엔텍","3510","10","0.29","112706.0"
"040160","누리플렉스","3410","-65","-1.87","41109.0"
"040350","크레오에스지","535","-15","-2.73","103365.0"
"040420","정상제이엘에스","6360","100","1.60","99709.0"
"040610","SG&G","1926","3","0.16","65652.0"
"041460","한국전자인증","4330","-100","-2.26","82270.0"
"041520","이엘씨","9520","-440","-4.42","116037.0"
"041910","폴라리스AI파마","7670","-120","-1.54","103557.0"
"041920","메디아나","5700","-200","-3.39","106010.0"
"041930","동아화성","6090","-40","-0.65","96222.0"
"042040","케이피엠테크","278","-2","-0.71","54039.0"
"042110","에스씨디","1494","70","4.92","72204.0"
"042500","링네트","4425","-40","-0.90","84385.0"
"042510","라온시큐어","11620","-300","-2.52","130204.0"
"042520","한스바이오메드","8910","10","0.11","120520.0"
"042600","새로닉스","7000","0","0.00","86965.0"
"042940","상지건설","13820","2480","21.87","94373.0"
"043100","알파녹스","4020","25","0.63","68770.0"
"043200","파루","1594","59","3.84","66636.0"
"043260","성호전자","1158","-20","-1.70","82129.0"
"043340","에쎈테크","541","19","3.64","51395.0"
"043360","디지아이","2405","5","0.21","21645.0"
"043590","웰킵스하이텍","633","3","0.48","17178.0"
"043610","KT지니뮤직","2190","0","0.00","127273.0"
"043650","국순당","4645","-30","-0.64","82952.0"
"043710","서울리거","1246","-9","-0.72","107857.0"
"043910","자연과환경","735","-10","-1.34","83343.0"
"044180","KD","601","5","0.84","16057.0"
"044480","빌리언스","304","3","1.00","12362.0"
"044780","에이치케이","1395","-35","-2.45","25816.0"
"044960","이글벳","4325","0","0.00","54676.0"
"044990","에이치엔에스하이텍","15640","40","0.26","125684.0"
"045060","오공","2530","-10","-0.39","42863.0"
"045300","성우테크론","3120","0","0.00","32284.0"
"045340","토탈소프트","6840","20","0.29","58537.0"
"045520","크린앤사이언스","4400","25","0.57","28600.0"
"045660","에이텍","14990","60","0.40","123817.0"
"045970","코아시아","3655","-130","-3.43","96181.0"
"046120","오르비텍","4290","-165","-3.70","117758.0"
"046210","HLB파나진","2035","37","1.85","91628.0"
"046310","백금T&A","2915","0","0.00","47860.0"
"046390","삼화네트웍스","1255","-9","-0.71","54182.0"
"046940","우원개발","3020","5","0.17","54585.0"
"046970","우리로","1334","4","0.30","58463.0"
"047080","한빛소프트","1404","-6","-0.43","34851.0"
"047770","코데즈컴바인","1866","-20","-1.06","70614.0"
"048430","유라테크","8770","10","0.11","101030.0"
"048470","대동스틸","4135","-50","-1.19","41350.0"
"048770","TPC","2070","-55","-2.59","32495.0"
"048830","엔피케이","1085","2","0.18","20315.0"
"049080","기가레인","524","8","1.55","44479.0"
"049430","코메론","10280","-70","-0.68","93013.0"
"049470","SGA","430","-10","-2.27","25311.0"
"049480","오픈베이스","2740","-50","-1.79","86097.0"
"049520","유아이엘","3645","-55","-1.49","117542.0"
"049630","재영솔루텍","871","-2","-0.23","78992.0"
"049830","승일","9050","50","0.56","55496.0"
"049960","쎌바이오텍","12860","-20","-0.16","120884.0"
"050110","캠시스","878","25","2.93","64818.0"
"050120","ES큐브","2755","-115","-4.01","37369.0"
"050760","에스폴리텍","1500","-7","-0.46","24502.0"
"050860","아세아텍","2300","-70","-2.95","51750.0"
"050960","수산아이앤티","11180","140","1.27","75476.0"
"051380","피씨디렉트","2345","10","0.43","35972.0"
"051390","YW","3780","-30","-0.79","42923.0"
"051490","나라엠앤디","3840","0","0.00","54528.0"
"051780","큐로홀딩스","910","46","5.32","21150.0"
"052220","iMBC","3610","5","0.14","83030.0"
"052300","오션인더블유","3315","-15","-0.45","55908.0"
"052420","오성첨단소재","1523","-43","-2.75","138853.0"
"052460","아이크래프트","2460","-25","-1.01","35936.0"
"052600","한네트","4715","0","0.00","54523.0"
"052790","액토즈소프트","6600","-100","-1.49","74782.0"
"052860","아이앤씨","1874","4","0.21","33475.0"
"052900","KX하이텍","1005","5","0.50","55383.0"
"053050","지에스이","2860","-20","-0.69","85765.0"
"053060","세동","1498","117","8.47","26451.0"
"053160","프리엠스","8430","-10","-0.12","50580.0"
"053260","금강철강","4410","-70","-1.56","82555.0"
"053270","구영테크","2260","15","0.67","61948.0"
"053280","예스24","4450","-60","-1.33","111250.0"
"053450","세코닉스","6160","40","0.65","91124.0"
"053700","삼보모터스","4380","35","0.81","100202.0"
"053950","경남제약","646","2","0.31","50483.0"
"053980","오상자이엘","3735","45","1.22","70901.0"
"054040","한국컴퓨터","5040","-100","-1.95","80999.0"
"054050","농우바이오","8430","60","0.72","135138.0"
"054090","삼진엘앤디","788","3","0.38","19668.0"
"054220","비츠로시스","348","0","0.00","20864.0"
"054300","팬스타엔터프라이즈","643","-12","-1.83","74422.0"
"054540","삼영엠텍","5690","-90","-1.56","73970.0"
"054620","APS","4975","-75","-1.49","98974.0"
"054670","대한뉴팜","7560","120","1.61","108523.0"
"054780","키이스트","4325","-40","-0.92","84544.0"
"054920","한컴위드","3610","-45","-1.23","101864.0"
"054930","유신","24050","-350","-1.43","72150.0"
"054940","엑사이엔씨","738","-2","-0.27","24482.0"
"056090","시지메드텍","1030","-3","-0.29","106357.0"
"056360","코위버","5590","-30","-0.53","54764.0"
"056700","신화인터텍","1899","-15","-0.78","55328.0"
"057030","YBM넷","3545","15","0.42","57829.0"
"057540","옴니시스템","960","32","3.45","57071.0"
"057680","티사이언티픽","1246","-49","-3.78","88776.0"
"058110","멕아이씨에스","2220","-15","-0.67","35632.0"
"058400","KNN","765","-4","-0.52","101309.0"
"058630","엠게임","6310","90","1.45","123322.0"
"059100","아이컴포넌트","5010","15","0.30","35425.0"
"059120","아진엑스텍","6660","10","0.15","64926.0"
"059270","해성에어로보틱스","5690","-140","-2.40","63391.0"
"060230","소니드","473","11","2.38","34888.0"
"060260","뉴보텍","1620","-32","-1.94","21889.0"
"060310","3S","2160","-20","-0.92","114608.0"
"060380","동양에스텍","1411","-3","-0.21","27797.0"
"060480","국일신동","1812","-2","-0.11","20095.0"
"060540","에스에이티","1356","3","0.22","35437.0"
"060560","홈센타홀딩스","795","-7","-0.87","101497.0"
"060850","영림원소프트랩","6030","0","0.00","49030.0"
"060900","DGP","1236","-7","-0.56","32289.0"
"061040","알에프텍","2890","-10","-0.34","92738.0"
"061250","화일약품","1219","-9","-0.73","105106.0"
