,Threshold (Bottom %),Interaction Coef,P-value,Significance
0,10%,0.0008523362270306252,0.7049280268568648,Fail
1,20%,0.0008571626929750228,0.5851383766392938,Fail
2,30%,0.00012334706205047456,0.9248108835183122,Fail
3,40%,-5.600708541659855e-05,0.9630768004245559,Fail
4,50%,0.00024890074268879645,0.83861784705682,Fail
